id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2615438193,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-73m2-venda-RS1200000-id-2615438193/,"Apartamento com 2 Quartos à Venda, 73m²","Brooklin, São Paulo - SP",73,2 Quartos,3 Banheiros,1 Vaga,,R$ 1.200.000,,Brooklin,2023-07-09 14:17
2637977325,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-52m2-venda-RS800000-id-2637977325/,"Apartamento com Quarto à Venda, 52m²","Rua Guararapes, 305 - Brooklin, São Paulo - SP",52,1 Quarto,1 Banheiro,1 Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 800.000,R$ 850,Brooklin,2023-07-09 14:17
2621655736,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-256m2-venda-RS2450000-id-2621655736/,"Apartamento com 4 Quartos à Venda, 256m²","Rua Nova York, 970 - Brooklin, São Paulo - SP",256,4 Quartos,5 Banheiros,4 Vagas,"Piscina
Churrasqueira
Elevador
Área de serviço
Cozinha
...",R$ 2.450.000,R$ 3.200,Brooklin,2023-07-09 14:17
2642803422,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-99m2-venda-RS1700000-id-2642803422/,"Apartamento com 2 Quartos à Venda, 99m²","Rua Pássaros e Flores - Brooklin, São Paulo - SP",99,2 Quartos,2 Banheiros,2 Vagas,"Piscina
Mobiliado
Churrasqueira
Academia
Aceita animais
...",R$ 1.700.000,R$ 1.300,Brooklin,2023-07-09 14:17
2623260419,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-94m2-venda-RS1390000-id-2623260419/,"Apartamento com Quarto à Venda, 94m²","Rua Bacaetava - Brooklin, São Paulo - SP",94,1 Quarto,1 Banheiro,2 Vagas,"Piscina
Elevador
Condomínio fechado
Academia
Jardim
...",R$ 1.390.000,R$ 920,Brooklin,2023-07-09 14:17
2625428205,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-108m2-venda-RS2000000-id-2625428205/,"Apartamento com Quarto à Venda, 108m²","Brooklin, São Paulo - SP",108,1 Quarto,2 Banheiros,2 Vagas,"Piscina
Churrasqueira
Ar-condicionado
Jardim
Playground
...",R$ 2.000.000,R$ 2.000,Brooklin,2023-07-09 14:17
2631528574,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-70m2-venda-RS1300000-id-2631528574/,"Apartamento com 2 Quartos à Venda, 70m²","Avenida Engenheiro Luiz Carlos Berrini, 1618 - Brooklin, São Paulo - SP",70,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Mobiliado
Churrasqueira
Elevador
Academia
...",R$ 1.300.000,R$ 980,Brooklin,2023-07-09 14:17
2624005129,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-65m2-venda-RS647000-id-2624005129/,"Apartamento com 2 Quartos à Venda, 65m²","Avenida Padre Antônio José dos Santos - Brooklin, São Paulo - SP",65,2 Quartos,1 Banheiro,1 Vaga,"Garagem
Salão de festas
Área de serviço",R$ 647.000,R$ 980,Brooklin,2023-07-09 14:17
2633995820,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-75m2-venda-RS1485000-id-2633995820/,"Apartamento com 2 Quartos à Venda, 75m²","Rua Sansão Alves dos Santos, 343 - Brooklin, São Paulo - SP",75,2 Quartos,2 Banheiros,2 Vagas,"Piscina
Mobiliado
Elevador
Academia
Garagem
...",R$ 1.485.000,R$ 1.200,Brooklin,2023-07-09 14:17
2579963423,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-70m2-venda-RS1590000-id-2579963423/,"Apartamento com Quarto à Venda, 70m²","Rua Sansão Alves dos Santos, 343 - Brooklin, São Paulo - SP",70,1 Quarto,2 Banheiros,1 Vaga,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",R$ 1.590.000,R$ 1.500,Brooklin,2023-07-09 14:17
