,Unnamed: 0,id,url,header,address,amenities,crawler,crawled_at,Quarto,Banheiro,Garagem,condominio,preço,area_limpo,Churrasqueira,Escritório,Perto de hospitais,Área de lazer,Quadra poliesportiva,Quintal,Espaço gourmet,Sala de massagem,TV a cabo,Próximo a shopping,Sistema de alarme,Perto de shopping,Janela grande,Quadra de tênis,Varanda,Depósito,Salão de festas,Acesso para deficientes,Jardim,Condomínio fechado,Área de serviço,Zelador,Armário embutido,Box blindex,Academia,Varanda gourmet,Aquecimento,Perto de vias de acesso,Guarita blindada,Mais de um andar,Copa,Salão de jogos,Vista exterior,Vista para o mar,Elevador,Segurança 24h,Cozinha gourmet,Piscina infantil,Perto de escolas,Porcelanato,Espaço verde / Parque,Ar-condicionado,Cozinha americana,Circuito de segurança,Piscina,Recepção,Serviços públicos essenciais,Portaria 24h,Sala de jantar,Guarita,Sauna,Gerador elétrico,Móvel planejado,Coworking,Energia solar,...,Armário embutido no quarto,Piso frio,Cinema,Mobiliado,Bicicletário,Interfone,Conexão à internet,Aceita animais,Vigia,Playground,Sala de almoço,Piscina para adulto,Cozinha,Lavanderia,Pé direito alto,Closet,Armário na cozinha,Varanda fechada com vidro,Quadra de squash,Dependência de empregados,Arvorismo,Perto de transporte público,Portão eletrônico
3822,3900,2627045686,https://www.vivareal.com.br/imovel/apartamento-2-quartos-saude-zona-sul-sao-paulo-com-garagem-73m2-venda-RS470000-id-2627045686/,"Apartamento com 2 Quartos à Venda, 73m²","Rua Biobedas, 300 - Saúde, São Paulo - SP","Condomínio fechado, Varanda, Aceita animais, Área de serviço, Playground, ...",saúde,2023-07-15 16:14:00,2,2,0,865.0,470000,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3823,3901,2561056408,https://www.vivareal.com.br/imovel/apartamento-2-quartos-saude-zona-sul-sao-paulo-com-garagem-78m2-venda-RS730000-id-2561056408/,"Apartamento com 2 Quartos à Venda, 78m²","Rua Itapiru, 330 - Saúde, São Paulo - SP","Piscina, Mobiliado, Churrasqueira, Elevador, Condomínio fechado, ...",saúde,2023-07-15 16:14:00,2,2,0,840.0,730000,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3824,3902,2558257159,https://www.vivareal.com.br/imovel/apartamento-3-quartos-saude-zona-sul-sao-paulo-com-garagem-95m2-venda-RS860000-id-2558257159/,"Apartamento com 3 Quartos à Venda, 95m²","Rua Catulo da Paixão Cearense - Saúde, São Paulo - SP","Piscina, Elevador, Varanda, Academia, Jardim, ...",saúde,2023-07-15 16:14:00,3,2,0,1300.0,860000,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3825,3903,2555155495,https://www.vivareal.com.br/imovel/apartamento-2-quartos-saude-zona-sul-sao-paulo-com-garagem-76m2-venda-RS865200-id-2555155495/,"Apartamento com 2 Quartos à Venda, 76m²","Rua Artur Thiré - Saúde, São Paulo - SP","Piscina, Churrasqueira, Academia, Aceita animais, Espaço gourmet, ...",saúde,2023-07-15 16:14:00,2,2,0,778.0,865200,76,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3826,3904,2530189164,https://www.vivareal.com.br/imovel/apartamento-2-quartos-saude-zona-sul-sao-paulo-com-garagem-62m2-venda-RS390000-id-2530189164/,"Apartamento com 2 Quartos à Venda, 62m²","Avenida Camilo Castelo Branco - Saúde, São Paulo - SP",,saúde,2023-07-15 16:14:00,2,1,0,750.0,390000,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3827,3905,2596994560,https://www.vivareal.com.br/imovel/apartamento-1-quartos-saude-zona-sul-sao-paulo-com-garagem-41m2-venda-RS456000-id-2596994560/,"Apartamento com Quarto à Venda, 41m²","Rua Caramuru, 1164 - Saúde, São Paulo - SP",,saúde,2023-07-15 16:14:00,1,1,0,560.0,456000,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3828,3906,2629073502,https://www.vivareal.com.br/imovel/apartamento-2-quartos-saude-zona-sul-sao-paulo-com-garagem-60m2-venda-RS578550-id-2629073502/,"Apartamento com 2 Quartos à Venda, 60m²","Rua Traituba, 100 - Saúde, São Paulo - SP","Churrasqueira, Piscina, Salão de festas, Sauna, Aceita animais",saúde,2023-07-15 16:14:00,2,2,0,680.0,578550,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3829,3907,2557336345,https://www.vivareal.com.br/imovel/apartamento-3-quartos-saude-zona-sul-sao-paulo-com-garagem-86m2-venda-RS750000-id-2557336345/,"Apartamento com 3 Quartos à Venda, 86m²","Rua do Boqueirão - Saúde, São Paulo - SP",,saúde,2023-07-15 16:14:00,3,2,0,650.0,750000,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3830,3908,2570890354,https://www.vivareal.com.br/imovel/apartamento-2-quartos-saude-zona-sul-sao-paulo-com-garagem-69m2-venda-RS520000-id-2570890354/,"Apartamento com 2 Quartos à Venda, 69m²","Rua Almeida Góis - Saúde, São Paulo - SP","Piscina, Aceita animais, Jardim, Área de serviço, Salão de festas, ...",saúde,2023-07-15 16:14:00,2,2,0,700.0,520000,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3831,3909,2644074100,https://www.vivareal.com.br/imovel/apartamento-2-quartos-saude-zona-sul-sao-paulo-com-garagem-70m2-venda-RS450000-id-2644074100/,Apartamento com 2 Quartos para Venda/Aluguel 70m²,"Saúde, São Paulo - SP","Elevador, Varanda gourmet, Academia, Interfone",saúde,2023-07-15 16:14:00,2,2,0,960.0,450000,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3832,3910,2602099413,https://www.vivareal.com.br/imovel/apartamento-3-quartos-saude-zona-sul-sao-paulo-com-garagem-76m2-venda-RS939000-id-2602099413/,"Apartamento com 3 Quartos à Venda, 76m²","Rua Artur Thiré - Saúde, São Paulo - SP","Piscina, Churrasqueira, Elevador, Condomínio fechado, Área de serviço, ...",saúde,2023-07-15 16:14:00,3,2,0,780.0,939000,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
